Sentence,Label
"We use administrative, technical, and physical safeguards to
protect your personal data, taking into account the nature of the personal data and the processing, and the threats posed",Data security
"Apple may share personal data with Apple-affiliated companies, service providers who act on our behalf, our partners,
developers, and publishers, or others at your direction. Further, Apple does not share personal data with third parties for
their own marketing purposes.",Data sharing
"To protect individuals, employees, and Apple and for loss prevention and to prevent
fraud, including to protect individuals, employees, and Apple for the benefit of all our users, and prescreening or scanning
uploaded content for potentially illegal content, including child sexual exploitation material.",Data sharing
"Because this information is important to your interaction with Apple, you may not opt out of
receiving these important notices.",Opt out
"Apple collects personal data necessary to power our services, which may include personal data
collected to improve our offerings, for internal purposes such as auditing or data analysis, or for troubleshooting. For
example, if you would like to access a song through an Apple Music subscription, we collect data on what songs you play
in order to provide you with the content requested and for royalty purposes.",Data collection
"To power features such as search and as a source for our foundational AI models, Apple uses Applebot, a web crawler, to crawl
information that is publicly available on the internet. ",AI Data
"Apple retains personal data only for so long as necessary to fulfill the purposes for which it was collected, including as
described in this Privacy Policy or in our service-specific privacy notices, or as required by law",Data retention
"we may collect a variety of information, including:
Account Information
Device Information
Contact Information
Payment Information
Transaction Information
Fraud Prevention Information
Usage Data
Location Information
Health Information
Fitness Information
Financial Information
Government ID Data",Data collection
"CRD collects information that may be directly associated with a specific person. This information is called
""Personal Information,"" and it includes but is not limited to names, addresses, telephone numbers, and email
addresses",Data collection
"CRD will not distribute or sell any of your
electronically or non-electronically collected Personal Information to any third party without your consent,
unless required by law.",Data sharing
"CRD has put security measures in place to safeguard Personal Information maintained in our electronic and
paper files and to protect it against loss or unauthorized access, use, modification, or disclosure",Data security
You have the right to inspect the Personal Information collected about you.,User rights
"Within OpenAI, your personal data can be internally accessed or disclosed on a confidential basis to:

local and global Human Resources staff, including managers and team members;
local, regional and executive management responsible for managing or making decisions in
connection with your relationship with the Company or when involved in an HR process concerning
your relationship with the Company (including, without limitation, staff from Compliance, Legal,
Employee Relations and Information Security);
system administrators; and
where necessary for the performance of specific tasks or system maintenance by staff in OpenAI
teams such as the Finance and IT Department and the Global HR information systems support
team.",Data security
"We will on occasion process your personal data for the purpose of legitimate interests pursued by a third
party, except where such interests are overridden by your interests or fundamental rights and freedoms
which require protection of personal data.",
