sentence,label
"We have provided these rights to our global customer base and if you choose to exercise these privacy rights, you have the right not to be treated in a discriminatory way nor to receive a lesser degree of service from Apple.",User rights
"Where you are requested to consent to the processing of your personal data by Apple, you have the right to withdraw your consent at any time.",User rights
"We may also validate the information you provide — for example, when creating an Apple Account, with a third party for security, and for fraud-prevention purposes.",Data sharing
"We have measures in place to reduce the amount of personal data we collect and make no attempt to connect data crawled to any individual Apple user, or to build profiles about individuals.",Data collection
"To exercise your right as an individual to opt out of processing, visit the Apple Intelligence Privacy Inquiries form.",Opt out
"For example, if you would like to access a song through an Apple Music subscription, we collect data on what songs you play in order to provide you with the content requested and for royalty purposes.",Data collection
"Because this information is important to your interaction with Apple, you may not opt out of receiving these important notices.",Opt out
"If you choose to personalize your services or communications where such options are available, Apple will use information that we collect so that we can offer you those personalized services or communications.",Data collection
They cannot use the personal data we share for their own purposes and must delete or return the personal data once theyʼve fulfilled our request.,Data sharing
"Apple may share personal data with others at your direction or with your consent, such as when we share information with your carrier to activate your account.",Data sharing
"We use administrative, technical, and physical safeguards to protect your personal data, taking into account the nature of the personal data and the processing, and the threats posed.",Data security
We are constantly working to improve on these safeguards to help keep your personal data secure.,Data security
"+ Children and Personal Data Apple understands the importance of safeguarding the personal data of children, which we consider to be an individual under the age of 13 or the equivalent age as specified by law in your jurisdiction.",Data security
Apple generally treats data we collect using these cookies and similar technologies as non-personal data.,Data collection
"Regardless of where your personal data is stored, Apple maintains the same high level of protection and safeguarding measures.",Data security
"+ Our Companywide Commitment to Your Privacy To make sure your personal data is secure, we communicate our privacy and security guidelines to Apple employees and strictly enforce privacy safeguards within the company.",Data security
We collect various types of personal data about you for the purposes described elsewhere in this Data Privacy Notice.,Data collection
"We also obtain some information from third parties: for example, references from a previous employer, medical reports from external professionals, information from tax authorities, benefit providers, where we employ a third party to carry out a background check (where permitted by applicable law), business partners, and government agencies and authorities.",Data sharing
"Where data is kept in electronic form, appropriate password protection and appropriately secured areas should be used.",Data security
"local folders, hard copies, emails saved outside of formal managed folders) securely erased.",Data security
"We will on occasion process your personal data for the purpose of legitimate interests pursued by a third party, except where such interests are overridden by your interests or fundamental rights and freedoms which require protection of personal data.",Data sharing
"In these circumstances, the data may be collected by OpenAI or a third party provider of the relevant service.",Data sharing
The Company will ensure that appropriate or suitable safeguards are in place to protect your personal information and that transfer of your personal information is in compliance with applicable data protection laws.,Data security
"You have the right to request access to any of your personal data that the Company may hold, and to request correction of any inaccurate data relating to you.",User rights
"Where we are relying upon your consent or the fact that the processing is necessary for the performance of a contract to which you are party as the legal basis for processing, and that personal data is processed by automatic means, you have the right to receive all such personal data which you have provided to the Company in a structured, commonly used and machine-readable format, and also to require us to transmit it to another controller where this is technically feasible.",User rights
"Right to withdraw consent Where we have relied on your consent to process particular information and you have provided us with your consent to process data, you have the right to withdraw such consent at any time.",User rights
You can do this by: in some cases deleting the relevant data from the relevant HR system (although note that in this case it may remain in back-ups and linked systems until it is deleted in accordance with our data retention policy); or contacting your local Human Resources contact.,Data retention
"Right to object to processing justified on legitimate interest grounds Right to complain Where we are relying upon legitimate interest to process data, then you have the right to object to that processing.",User rights
"France: You have the right to issue directives concerning the disposition of Right to control your digital your personal data after your death, in the conditions set forth in Art.",User rights
"This Privacy Policy (“Policy”) outlines how we collect and use personal information about you leading up to, during, and after your employment, contractual engagement, or other relationship you may have with us.",Data collection
"This Policy describes the categories of personal information that we collect, how we use your personal information, how we secure your personal information, and when we may share your personal information with third parties.",Data collection
"We collect, use, and store (collectively “process”) different types of Personal Information about you in the operation of our business.",Data collection
"Internet or other electronic network activity Application data, such as emails sent and received from your work email address, OpenAI systems and software usage data, OpenAI device information and activity; and cookies when you interact with our recruiting website as described more fully in our Privacy Policy at www.OpenAI .com/privacy.",AI data
How We Collect Personal Information We will collect information from the following sources: Directly from you.,Data collection
"From your activities at work based on, for example, office building entry, OpenAI systems and software usage, your work computer, and Internet logs.",AI data
"As part of protecting your Personal Information, we require all our service providers to implement appropriate security measures consistent with our policies and data security obligations.",Data security
"Data Storage, Retention and Disposal The information we collect may be processed and stored in the United States or in other countries where we or our affiliates or service providers process our data.",Data collection
"Except as otherwise permitted or required by applicable law or regulation, we will only retain your information for as long as necessary to fulfill the purposes we collected it for, including for the purposes of satisfying any operational, legal, accounting, or reporting requirements.",Data collection
How we Share Your Personal Information We do not sell your Personal Information and do not share your Personal Information for targeted advertising purposes.,Data sharing
Rights around Automated Decision-Making Technology We do not use your personal information for automated decision-making.,AI data
"If OpenAI were to use automated decision-making technology, it may be used to infer information about your work performance, economic situation, health, personal preferences, interests, reliability, behavior, location, and movement.",AI data
"If OpenAI were to use automated decision-making, you would have the right to request information about such automated decision- making technology and processing, and its results.",AI data
"We will retain your personal information for the period required as long as necessary to fulfill the purposes we collected it for, including for the purposes of satisfying any legal, accounting, or reporting requirements.",Data collection
"Where we share your personal information, we will put in place contractual measures to ensure they process your personal data in accordance with our instructions and have in place technical and organizational measures to protect your personal data with a level of protection comparable to that required under the Act on the Protection of Personal Information (“APPI”).",Data sharing
"SINGAPORE Additional Clauses Applicable to Employees, Interns, Secondees and Applicants In Singapore, you have specific rights under the Personal Data Protection Act (2012): ● You have the right to request access to any of your personal data that was used or disclosed within a year before your request.",User rights
"Where we share your personal data, we will put in place contractual measures to ensure recipients process your personal data in accordance with our instructions and have in place technical and organizational measures to protect your personal data with a level of protection comparable to the protection under Singapore’s Personal Data Protection Act.",Data sharing
Our Privacy Policy explains: What information we collect and why we collect it.,Data collection
"Information we collect We collect information to provide better services to all of our users – from figuring out basic stuff like which language you speak, to more complex things like which ads you’ll find most useful, the people who matter most to you online, or which YouTube videos you might like.",Data collection
We collect information in the following ways: Information you give us.,Data collection
"We collect information about the services that you use and how you use them, like when you watch a video on YouTube, visit a website that uses our advertising services, or view and interact with our ads and content.",Data collection
"This information includes: Device information We collect device-specific information (such as your hardware model, operating system version, unique device identifiers, and mobile network information including phone number).",Data collection
"Information we collect when you are signed in to Google, in addition to information we obtain about you from partners, may be associated with your Google Account.",Data collection
"How we use information we collect We use the information we collect from all of our services to provide, maintain, protect and improve them, to develop new ones, and to protect Google and our users.",Data collection
"Our goal is to be clear about what information we collect, so that you can make meaningful choices about how it is used.",Data collection
You can also visit that page to opt out of certain Google advertising services.,Opt out
"Information we share We do not share personal information with companies, organizations and individuals outside of Google unless one of the following circumstances applies: With your consent We will share personal information with companies, organizations or individuals outside of Google when we have your consent to do so.",Data sharing
"For external processing We provide personal information to our affiliates or other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.",Data security
"We review our information collection, storage and processing practices, including physical security measures, to guard against unauthorized access to systems.",Data security
"A page that explains what data is shared with Google when you visit websites that use our advertising, analytics and social products.",Data sharing
"Google’s safety center, which provides information on how to stay safe and secure online.",Data security
"""protect"" For example, one reason we collect and analyze IP addresses and cookies is to protect our services against automated abuse.",Data collection
Social media features and widgets are either hosted by a third party or hosted directly on our website.,Data sharing
"We may share your personal information with (a) third party service providers, (b) affiliated companies within our corporate structure and (d) as needed for legal purposes.",Data sharing
"We have the following third party service providers: an email automation service provider, website analytics service providers, providers for website customization, data storage providers and others that help us enhance our Services.",Data sharing
"However, these tools may collect information about you, such as IP address, location, device information and track the actions such as unsubscribe or email forward.",Opt out
"Data security We take data security very seriously and take all steps reasonably necessary to secure your data (whether technical, physical, or administrative).",Data security
"If you have any questions about how we secure your information, contact us at our email address provided below.",Data security
"If you wish to unsubscribe from our communication, you can opt out at any time by clicking the unsubscribe link at the bottom of each communication.",Opt out
"CRD will not distribute or sell any of your electronically or non-electronically collected Personal Information to any third party without your consent, unless required by law.",Data sharing
"As authorized by law, the information is transferred to/shared with the U.S.",Data sharing
You are advised to review the privacy policies of the third party offering the website before providing any Personal Information to these websites.,Data sharing
"SECURITY OF PERSONAL INFORMATION CRD has put security measures in place to safeguard Personal Information maintained in our electronic and paper files and to protect it against loss or unauthorized access, use, modification, or disclosure.",Data security
CRD’s security measures include various security technologies such as encryption software used to protect the security of Personal Information during transmission and storage.,Data security
ACCESS AND CORRECTIONS TO YOUR PERSONAL INFORMATION You have the right to inspect the Personal Information collected about you.,User rights
We collect your personal information in order to provide and continually improve our products and services.,Data collection
Here are the types of personal information we collect: * Information You Give Us: We receive and store any information you provide in relation to Amazon Services.,Data collection
Click here to see examples of what we collect.,Data collection
"Like many websites, we use ""cookies"" and other unique identifiers, and we obtain certain types of information when your web browser or device accesses Amazon Services and other content served by or on behalf of Amazon on other websites.",Data collection
Click here to see examples of what we collect.,Data collection
"In certain cases, we collect and use your personal information to comply with laws.",Data collection
"For instance, we collect from sellers information regarding place of establishment and bank account information for identity verification and other purposes.",Data collection
"We share customers' personal information only as described below and with subsidiaries Amazon.com, Inc. controls that either are subject to this Privacy Notice or follow practices at least as protective as those described in this Privacy Notice.",Data sharing
"You can tell when a third party is involved in your transactions, and we share customers' personal information related to those transactions with that third party.",Data sharing
"Other than as set out above, you will receive notice when personal information about you might be shared with third parties, and you will have an opportunity to choose not to share the information.",Data sharing
How Secure Is Information About Me?,Data security
* We work to protect the security of your personal information during transmission by using encryption protocols and software.,Data security
"* We maintain physical, electronic, and procedural safeguards in connection with the collection, storage, and disclosure of customer personal information.",Data security
Our security procedures mean that we may ask to verify your identity before we disclose personal information to you.,Data sharing
"If you have any questions as to how we collect and use your personal information, please contact our Customer Service.",Data collection
"* You will also be able to opt out of certain other types of data usage by updating your settings on the applicable Amazon website (e.g., in ""Manage Your Content and Devices""), device, or application.",Opt out
Information We Collect 4.,Data collection
How We Disclose Your Information 7.,Data sharing
How We Protect Your Information 9.,Data security
"Information We Collect When you visit and use the Starbucks Services, we may collect the following categories of information: * Identifiers – We may collect information that can be used to identify you, such as your first and last name, phone number, your address book, username and password, email address, postal address, IP address, day and month of your birthday, and demographic information (such as gender).",Data collection
"(d) To Enforce our Terms, Agreements, or Policies – To maintain a safe, secure, and trusted environment for you when you use our websites, mobile applications, and other services, we may use your personal information to ensure our terms, policies, and agreements with you and any third parties are enforced.",Data security
How We Disclose Your Information We may disclose your information as needed to fulfill the purposes described in this Notice and as permitted by applicable law.,Data sharing
"* Interest-Based Ads – Many advertising companies that collect information for interest-based advertising are members of the Digital Advertising Alliance (DAA) or the Network Advertising Initiative (NAI), both of which maintain websites where people can opt out of interest-based advertising from their members.",Opt out
"How We Protect Your Information Starbucks uses reasonable technical, physical, and administrative security measures to reduce the risk of loss, misuse, unauthorized access, disclosure or modification of your information.",Data security
"Regardless of the company or person who processes your information and where it is processed, we will take steps to transfer and protect your information through appropriate safeguards in accordance with applicable data protection laws and this Notice.",Data security
You may opt-out of receiving promotional emails at any time by adjusting your Starbucks online account settings or by clicking the “unsubscribe” link included within any promotional emails we send you.,Opt out
"You may opt-out of receiving automated marketing text messages at any time by texting any of the following replies at the end of any text message you receive: STOP, END, CANCEL, UNSUBSCRIBE, or QUIT.",Opt out
"* Right to Know – You may have the right to know what personal information the business has collected about you, including the categories of personal information, the categories of sources from which it is collected, the business or commercial purposes for collecting, selling, or sharing it, and the categories of third parties to whom we disclose it.",Data sharing
"* Access and Data Portability – Subject to certain exceptions, you may have the right to request a copy of the personal information that we collected about you during the 12 months before your request.",Data collection
"* Deletion – You may have the right to request that we delete information that we collected from you and retained, subject to certain exceptions.",Data collection
* Targeted Advertising – We do not sell your information for monetary or valuable consideration.,Opt out
